Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 1
Goal Reached!  Total distance traveled is: 22.0154 || Avg execution time per cycle is: 0.000400862
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 190
Goal Reached!  Total distance traveled is: 21.966 || Avg execution time per cycle is: 0.000375
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 191
Collision occured!  ||  Avg execution time per cycle is: 0.000521277
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 192
Goal Reached!  Total distance traveled is: 22.0459 || Avg execution time per cycle is: 0.000428571
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 193
Goal Reached!  Total distance traveled is: 22.0567 || Avg execution time per cycle is: 0.000417582
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 194
Collision occured!  ||  Avg execution time per cycle is: 0.000457143
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 195
Goal Reached!  Total distance traveled is: 22.4587 || Avg execution time per cycle is: 0.000389831
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 196
Goal Reached!  Total distance traveled is: 21.9953 || Avg execution time per cycle is: 0.00040991
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 197
Collision occured!  ||  Avg execution time per cycle is: 0.000470588
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 198
Collision occured!  ||  Avg execution time per cycle is: 0.000442748
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 199
Goal Reached!  Total distance traveled is: 22.0909 || Avg execution time per cycle is: 0.000453815
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 200
Goal Reached!  Total distance traveled is: 22.1394 || Avg execution time per cycle is: 0.000409091
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 201
Goal Reached!  Total distance traveled is: 22.2941 || Avg execution time per cycle is: 0.000380435
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 202
Collision occured!  ||  Avg execution time per cycle is: 0.000325581
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 203
Goal Reached!  Total distance traveled is: 22.1361 || Avg execution time per cycle is: 0.000423581
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 204
Goal Reached!  Total distance traveled is: 21.9239 || Avg execution time per cycle is: 0.000401826
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 205
Collision occured!  ||  Avg execution time per cycle is: 0.000545455
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 206
Goal Reached!  Total distance traveled is: 21.9838 || Avg execution time per cycle is: 0.000413934
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 207
Goal Reached!  Total distance traveled is: 21.8901 || Avg execution time per cycle is: 0.000418502
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 208
Goal Reached!  Total distance traveled is: 22.2114 || Avg execution time per cycle is: 0.000381526
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 209
Goal Reached!  Total distance traveled is: 21.8841 || Avg execution time per cycle is: 0.000413636
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 210
Collision occured!  ||  Avg execution time per cycle is: 0.000511111
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 211
Goal Reached!  Total distance traveled is: 22.3435 || Avg execution time per cycle is: 0.000456604
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 212
Collision occured!  ||  Avg execution time per cycle is: 0.000472222
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 213
Goal Reached!  Total distance traveled is: 21.9254 || Avg execution time per cycle is: 0.000394619
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 214
Goal Reached!  Total distance traveled is: 22.3948 || Avg execution time per cycle is: 0.000463602
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 215
Goal Reached!  Total distance traveled is: 21.9962 || Avg execution time per cycle is: 0.000433476
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 216
Goal Reached!  Total distance traveled is: 22.2974 || Avg execution time per cycle is: 0.000392405
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 217
Goal Reached!  Total distance traveled is: 22.1599 || Avg execution time per cycle is: 0.000416988
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 218
Goal Reached!  Total distance traveled is: 22.3072 || Avg execution time per cycle is: 0.000438849
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 219
Goal Reached!  Total distance traveled is: 21.9363 || Avg execution time per cycle is: 0.000359649
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 220
Collision occured!  ||  Avg execution time per cycle is: 0.000405063
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 221
Goal Reached!  Total distance traveled is: 22.1313 || Avg execution time per cycle is: 0.000371795
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 222
Goal Reached!  Total distance traveled is: 22.1785 || Avg execution time per cycle is: 0.000402439
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 223
Goal Reached!  Total distance traveled is: 22.0941 || Avg execution time per cycle is: 0.000385159
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 224
Goal Reached!  Total distance traveled is: 22.2406 || Avg execution time per cycle is: 0.000417671
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 225
Goal Reached!  Total distance traveled is: 22.4209 || Avg execution time per cycle is: 0.000385455
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 226
Goal Reached!  Total distance traveled is: 22.0487 || Avg execution time per cycle is: 0.000561181
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 227
Goal Reached!  Total distance traveled is: 22.0973 || Avg execution time per cycle is: 0.000385281
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 228
Collision occured!  ||  Avg execution time per cycle is: 0.000371041
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 229
Goal Reached!  Total distance traveled is: 22.1711 || Avg execution time per cycle is: 0.000427966
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 230
Goal Reached!  Total distance traveled is: 21.7473 || Avg execution time per cycle is: 0.000394231
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 231
Goal Reached!  Total distance traveled is: 21.8918 || Avg execution time per cycle is: 0.000402844
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 232
Goal Reached!  Total distance traveled is: 21.8878 || Avg execution time per cycle is: 0.000402655
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 233
Collision occured!  ||  Avg execution time per cycle is: 0.000447368
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 234
Goal Reached!  Total distance traveled is: 22.2531 || Avg execution time per cycle is: 0.000396887
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 235
Goal Reached!  Total distance traveled is: 21.7324 || Avg execution time per cycle is: 0.000417431
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 236
Collision occured!  ||  Avg execution time per cycle is: 0.000325123
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 237
Goal Reached!  Total distance traveled is: 22.1753 || Avg execution time per cycle is: 0.000395062
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 238
Goal Reached!  Total distance traveled is: 21.9603 || Avg execution time per cycle is: 0.000381818
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 239
Collision occured!  ||  Avg execution time per cycle is: 0.000406504
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 240
Goal Reached!  Total distance traveled is: 21.9439 || Avg execution time per cycle is: 0.000365297
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 241
Collision occured!  ||  Avg execution time per cycle is: 0.000426036
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 242
Goal Reached!  Total distance traveled is: 22.2101 || Avg execution time per cycle is: 0.000429658
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 243
Goal Reached!  Total distance traveled is: 22.4926 || Avg execution time per cycle is: 0.000408669
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 244
Goal Reached!  Total distance traveled is: 21.9065 || Avg execution time per cycle is: 0.000433884
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 245
Goal Reached!  Total distance traveled is: 22.1866 || Avg execution time per cycle is: 0.000413793
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 246
Collision occured!  ||  Avg execution time per cycle is: 0.000448276
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 247
Goal Reached!  Total distance traveled is: 21.786 || Avg execution time per cycle is: 0.000383929
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 248
Goal Reached!  Total distance traveled is: 22.0888 || Avg execution time per cycle is: 0.000412
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 249
Goal Reached!  Total distance traveled is: 22.2613 || Avg execution time per cycle is: 0.000390756
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 250
Goal Reached!  Total distance traveled is: 22.3596 || Avg execution time per cycle is: 0.000361624
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 251
Collision occured!  ||  Avg execution time per cycle is: 0.000433333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 252
Goal Reached!  Total distance traveled is: 22.1878 || Avg execution time per cycle is: 0.000410788
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 253
Goal Reached!  Total distance traveled is: 21.9066 || Avg execution time per cycle is: 0.000442922
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 254
Goal Reached!  Total distance traveled is: 22.3148 || Avg execution time per cycle is: 0.000378049
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 255
Goal Reached!  Total distance traveled is: 22.1604 || Avg execution time per cycle is: 0.000397638
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 256
Goal Reached!  Total distance traveled is: 22.13 || Avg execution time per cycle is: 0.000356846
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 257
Collision occured!  ||  Avg execution time per cycle is: 0.000361781
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 258
Goal Reached!  Total distance traveled is: 22.1876 || Avg execution time per cycle is: 0.000354717
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 259
Goal Reached!  Total distance traveled is: 21.9194 || Avg execution time per cycle is: 0.000382222
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 260
Goal Reached!  Total distance traveled is: 21.9372 || Avg execution time per cycle is: 0.000359091
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 261
Goal Reached!  Total distance traveled is: 22.283 || Avg execution time per cycle is: 0.000361217
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 262
Goal Reached!  Total distance traveled is: 22.0402 || Avg execution time per cycle is: 0.000393939
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 263
Goal Reached!  Total distance traveled is: 22.049 || Avg execution time per cycle is: 0.000408511
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 264
Goal Reached!  Total distance traveled is: 22.0891 || Avg execution time per cycle is: 0.000427984
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 265
Goal Reached!  Total distance traveled is: 22.0671 || Avg execution time per cycle is: 0.000363636
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 266
Goal Reached!  Total distance traveled is: 21.8955 || Avg execution time per cycle is: 0.000426087
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 267
Goal Reached!  Total distance traveled is: 22.1971 || Avg execution time per cycle is: 0.000403774
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 268
Goal Reached!  Total distance traveled is: 21.8208 || Avg execution time per cycle is: 0.000363229
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 269
Goal Reached!  Total distance traveled is: 22.0458 || Avg execution time per cycle is: 0.000348739
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 270
Goal Reached!  Total distance traveled is: 22.049 || Avg execution time per cycle is: 0.000356223
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 271
Goal Reached!  Total distance traveled is: 22.0927 || Avg execution time per cycle is: 0.000395455
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 272
Goal Reached!  Total distance traveled is: 22.0557 || Avg execution time per cycle is: 0.000295359
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 273
Goal Reached!  Total distance traveled is: 21.8414 || Avg execution time per cycle is: 0.000416667
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 274
Collision occured!  ||  Avg execution time per cycle is: 0.00045
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 275
Collision occured!  ||  Avg execution time per cycle is: 0.000465517
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 276
Collision occured!  ||  Avg execution time per cycle is: 0.000404389
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 277
Goal Reached!  Total distance traveled is: 22.0407 || Avg execution time per cycle is: 0.000407407
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 278
Collision occured!  ||  Avg execution time per cycle is: 0.000385892
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 279
Goal Reached!  Total distance traveled is: 21.8754 || Avg execution time per cycle is: 0.000420091
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 280
Collision occured!  ||  Avg execution time per cycle is: 0.00034375
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 281
Goal Reached!  Total distance traveled is: 22.2002 || Avg execution time per cycle is: 0.000335849
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 282
Goal Reached!  Total distance traveled is: 21.9123 || Avg execution time per cycle is: 0.000392857
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 283
Goal Reached!  Total distance traveled is: 22.0068 || Avg execution time per cycle is: 0.000402597
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 284
Goal Reached!  Total distance traveled is: 22.4617 || Avg execution time per cycle is: 0.000378676
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 285
Goal Reached!  Total distance traveled is: 22.11 || Avg execution time per cycle is: 0.000386555
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 286
Goal Reached!  Total distance traveled is: 21.9957 || Avg execution time per cycle is: 0.000436681
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 287
Goal Reached!  Total distance traveled is: 21.9615 || Avg execution time per cycle is: 0.000366516
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 288
Collision occured!  ||  Avg execution time per cycle is: 0.00040678
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 289
Goal Reached!  Total distance traveled is: 21.8504 || Avg execution time per cycle is: 0.000407035
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 290
Goal Reached!  Total distance traveled is: 21.8123 || Avg execution time per cycle is: 0.000356828
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 291
Collision occured!  ||  Avg execution time per cycle is: 0.000442708
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 292
Collision occured!  ||  Avg execution time per cycle is: 0.000453333
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 293
Goal Reached!  Total distance traveled is: 22.04 || Avg execution time per cycle is: 0.000408511
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 294
Goal Reached!  Total distance traveled is: 21.8752 || Avg execution time per cycle is: 0.000402778
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 295
Goal Reached!  Total distance traveled is: 22.1916 || Avg execution time per cycle is: 0.000451064
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 296
Goal Reached!  Total distance traveled is: 22.0329 || Avg execution time per cycle is: 0.000368201
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 297
Collision occured!  ||  Avg execution time per cycle is: 0.000355705
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 298
Goal Reached!  Total distance traveled is: 21.9485 || Avg execution time per cycle is: 0.000405512
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 299
Goal Reached!  Total distance traveled is: 22.0757 || Avg execution time per cycle is: 0.000326446
Simulation Started!  ||  Goal successfully published at (22.0, 0.0) in world 300
Goal Reached!  Total distance traveled is: 22.547 || Avg execution time per cycle is: 0.000371622

